username,email,firstName,lastName
data_ninja,dataninja@example.com,Updated,User
web_wizard,webwizard@example.com,Sohail,Ansari
code_master,code@example.com,Code,Master
admin_user,admin@example.com,Admin,User
adminuser1,admin1@example.com,Admin,One
adminuser2,admin2@example.com,Admin,Two
alice01,alice@example.com,Alice,Wonder
bobthebuilder,bob@example.com,Bob,Builder
charlieb,charlie@example.com,Charlie,Brown
deepcoder,deep@example.com,Deepansh,Gangwar
evee99,eve@example.com,Eve,Doe
franky,frank@example.com,Frank,Stone
gracehopper,grace@example.com,Grace,Hopper
hankhill,hank@example.com,Hank,Hill
ivytech,ivy@example.com,Ivy,Lane
jakelong,jake@example.com,Jake,Long
katybee,katy@example.com,Katy,Baker
leosmith,leo@example.com,Leo,Smith
miawong,mia@example.com,Mia,Wong
ninapatel,nina@example.com,Nina,Patel
oscard,oscar@example.com,Oscar,Doe
piasingh,pia@example.com,Pia,Singh
quinnt,quinn@example.com,Quinn,Taylor
rayjohnson,ray@example.com,Ray,Johnson
